geo_point_2d,geo_shape,gml_id,objectid,accident,unite_pv,date,heure,jsem,code_insee,inter,adresse,pr,nomv,numvro,pr_2,nomv_2,numvro_2,vehicule1,vehicule2,vehicule3,vehicule4,vehicule5,vehicule6,usager1,usager2,usager3,usager4,usager5,usager6,usager7,usager8,ntu,nbh,nbnh,wms_time,id
"48.13746199904696,-1.686482999998056","{""coordinates"": [-1.686482999998056, 48.13746199904696], ""type"": ""Point""}",accident.4402,4402,63446471,SP/35238/285,2019-07-24,07:05,Mercredi,35278,Giratoire,CHESNAIS BEAUREGARD (RUE DU),0+0,CHESNAIS BEAUREGARD (RUE DU),,,,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2019-01-01,12
"48.09728280057796,-1.6577892144099449","{""coordinates"": [-1.657789214409945, 48.09728280057796], ""type"": ""Point""}",accident.4404,4404,2764,Sécurité publique 0035238 00102,2017-03-01,19:15,Mercredi,35238,à plus de 4 branches,ROOSEVELT (BD FRANKLIN),,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2017-01-01,13
"48.10646999904697,-1.686169999998369","{""coordinates"": [-1.686169999998369, 48.10646999904697], ""type"": ""Point""}",accident.4503,4503,63457535,SP/35238/398,2019-10-10,08:20,Jeudi,35238,En T,AVENUE DES PREALES,0+0,AVENUE DES PREALES,,0+0,AVENUE DES PREALES,,Bicyclette,Véhicule de tourisme (VT),,,,,Conducteur,Conducteur,,,,,,,0,0,1,2019-01-01,14
"48.10988134525894,-1.6718597288165142","{""coordinates"": [-1.671859728816514, 48.10988134525894], ""type"": ""Point""}",accident.4598,4598,2539,Sécurité publique 0035238 00224,2012-05-05,14:30,Samedi,35238,hors intersection,14 QUAI RICHEMONT,,QUAI DE RICHEMONT,0,,,0.0,Bicyclette,,,,,,Conducteur,,,,,,,,0,0,1,2012-01-01,15
"48.10958749823337,-1.707073774046","{""coordinates"": [-1.707073774046, 48.10958749823337], ""type"": ""Point""}",accident.4684,4684,2371,Sécurité publique 0035238 00345,2012-07-13,08:50,Vendredi,35238,hors intersection,"64, BD MARBEUF",,BOULEVARD MARBEUF,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Passager,Conducteur,,,,,,0,0,1,2012-01-01,16
"48.10353589211007,-1.6626722597986927","{""coordinates"": [-1.662672259798693, 48.10353589211007], ""type"": ""Point""}",accident.4693,4693,3666,Sécurité publique 0035238 00453,2018-11-08,09:23,Jeudi,35238,En X,SAINT-HELIER,,,0,,,0.0,VL,Bicyclette,VL,,,,Conducteur,Conducteur,Conducteur,,,,,,0,0,1,2018-01-01,17
"48.09441999905062,-1.6744099999954911","{""coordinates"": [-1.674409999995491, 48.09441999905062], ""type"": ""Point""}",accident.4717,4717,59963,SP/35238/12,2021-01-12,08:35,Mardi,35238,En X,SEMBAT (MARCEL),N/C,,,N/C,SEMBAT (MARCEL),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,2,2021-01-01,18
"48.090026966913996,-1.6822433442776434","{""coordinates"": [-1.682243344277643, 48.090026966913996], ""type"": ""Point""}",accident.5106,5106,2776,Sécurité publique 0035238 00051,2017-01-24,14:40,Mardi,35238,Giratoire,"00, ALBERT 1ER (BD)",,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2017-01-01,19
"48.11045999904689,-1.6927400000024224","{""coordinates"": [-1.692740000002422, 48.11045999904689], ""type"": ""Point""}",accident.4854,4854,100841,SP/35238/350,2021-09-30,20:45,Jeudi,35238,En T,VANEAU,0+0,POLIEUX (DES),,0+0,VANEAU,,Bicyclette,Véhicule de tourisme (VT),,,,,Conducteur,Conducteur,,,,,,,0,0,1,2021-01-01,20
"48.163089999045866,-1.67548000000443","{""coordinates"": [-1.67548000000443, 48.163089999045866], ""type"": ""Point""}",accident.4891,4891,109442,SP/35238/436,2021-11-17,18:00,Mercredi,35024,Giratoire,BETTON (ROND POINT DE),8+200,D29,,,,,Bicyclette,Véhicule de tourisme (VT),,,,,Conducteur,Conducteur,,,,,,,0,0,1,2021-01-01,21
"48.06207699904582,-1.755194999999325","{""coordinates"": [-1.755194999999325, 48.06207699904582], ""type"": ""Point""}",accident.4912,4912,113948,GN/678/3034,2021-12-13,09:00,Lundi,35047,Giratoire,La Barre de Cicé,0+460,D77,,12+340,D34,,"VU seul 1,5T < PTAC <=3,5T",Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2021-01-01,22
"48.13697909000542,-1.6720086336157283","{""coordinates"": [-1.672008633615728, 48.13697909000542], ""type"": ""Point""}",accident.4985,4985,434429,SP/35238/16,2022-01-15,05:40,Samedi,35278,Giratoire,Avenue des Monts d?Arrée,N/C,COUESNON (AVENUE DU),,N/C,MONTS D'ARREE (AVENUE DES),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2022-01-01,23
"48.10102688713051,-1.6851638630016634","{""coordinates"": [-1.685163863001663, 48.10102688713051], ""type"": ""Point""}",accident.5000,5000,439845,SP/35238/218,2022-06-17,08:30,Vendredi,35238,En T,NANTES (DE),N/C,TIERCELIN (LOUIS),,N/C,NANTES (DE),,"VU seul 1,5T < PTAC <=3,5T",Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2022-01-01,24
"48.08937999904627,-1.6819999999977622","{""coordinates"": [-1.681999999997762, 48.08937999904627], ""type"": ""Point""}",accident.5056,5056,456245,SP/35238/467,2022-12-20,08:00,Mardi,35238,Giratoire,FORCES FRANCAISES DE L'ONU (ROND POINT),N/C,FORCES FRANCAISES DE L'ONU (ROND POINT),,,,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2022-01-01,25
"48.11008842021218,-1.6862010888478607","{""coordinates"": [-1.686201088847861, 48.11008842021218], ""type"": ""Point""}",accident.5239,5239,2599,Sécurité publique 0035238 00635,2012-12-17,07:45,Lundi,35238,En X,MITTERRAND/BRETAGNE,,Mail François Mitterrand,0,,Pont de Bretagne,0.0,Bicyclette,Autobus,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2012-01-01,26
"48.074670330843624,-1.714451560187153","{""coordinates"": [-1.714451560187153, 48.074670330843624], ""type"": ""Point""}",accident.3364,3364,3808,Sécurité publique 0035238 00150,2018-03-28,08:01,Mercredi,35281,En T,RUE DU PATIS DES COUASNE,,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2018-01-01,27
"48.117021052597764,-1.6556692987685455","{""coordinates"": [-1.655669298768546, 48.117021052597764], ""type"": ""Point""}",accident.3644,3644,3095,Sécurité publique 0035238 00481,2017-11-17,16:15,Vendredi,35238,hors intersection,"25, LEJEAN (GUILLAUME)",,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2017-01-01,28
"48.135310008191944,-1.7825099388725862","{""coordinates"": [-1.782509938872586, 48.135310008191944], ""type"": ""Point""}",accident.3663,3663,3186,Gendarmerie Nationale 0010048 00880,2017-03-13,08:05,Lundi,35210,hors intersection,LA PENARDIÈRE,,,0,,,0.0,"VU seul 1,5T < PTAC <=3,5T",Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2017-01-01,29
"48.110299999043725,-1.6658700000010287","{""coordinates"": [-1.665870000001029, 48.110299999043725], ""type"": ""Point""}",accident.3707,3707,63440975,SP/35238/80,2019-02-27,18:20,Mercredi,35238,En X,BRIAND (AVENUE ARISTIDE),0+0,BRIAND (AVENUE ARISTIDE),,0+0,BRIAND (AVENUE ARISTIDE),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2019-01-01,30
"48.12306957291288,-1.8225516255764656","{""coordinates"": [-1.822551625576466, 48.12306957291288], ""type"": ""Point""}",accident.3710,3710,2717,Gendarmerie Nationale 0010048 03010,2017-04-30,10:30,Dimanche,35131,passage à niveau,RUE DE CINTRÉ,,,0,,,0.0,Bicyclette,,,,,,Conducteur,,,,,,,,0,1,0,2017-01-01,31
"48.109809999048686,-1.6655700000055023","{""coordinates"": [-1.665570000005502, 48.109809999048686], ""type"": ""Point""}",accident.3714,3714,66522643,SP/35238/359,2020-10-29,18:00,Jeudi,35238,En X,LAENNEC (BD RENE),0+0,LAENNEC (BD RENE),,0+0,LAENNEC (BD RENE),,Bicyclette,Véhicule de tourisme (VT),,,,,Conducteur,Conducteur,,,,,,,0,0,1,2020-01-01,32
"48.0620644210036,-1.7553678246783073","{""coordinates"": [-1.755367824678307, 48.0620644210036], ""type"": ""Point""}",accident.3760,3760,66516661,GN/678/1547,2020-05-29,15:00,Vendredi,35047,Giratoire,route départementale 34,12+350,route départementale 34,,,,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2020-01-01,33
