Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,id_usager,id_vehicule_x,num_veh_x,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,id_vehicule_y,num_veh_y,senc,catv,obs,obsm,choc,manv,motor,occutc
202200036386,30,4,2022,11:50,1,33,33009,2,1,1,1,PLAGE (BD DE LA) DU 196 ET +,"44,6628300000"," -1,1759400000",4,PLAGE (BD DE LA) DU 196 ET +,0,,1,1,1,1,(1),(1),1,, -1,1,0,5,50,1 013 174,749 107,B01,1,1,4,2,1993.0,5,0,-1,-1,-1, -1,-1,749 105,A01,1,1,0,2,1,13,5,
202200036386,30,4,2022,11:50,1,33,33009,2,1,1,1,PLAGE (BD DE LA) DU 196 ET +,"44,6628300000"," -1,1759400000",4,PLAGE (BD DE LA) DU 196 ET +,0,,1,1,1,1,(1),(1),1,, -1,1,0,5,50,1 013 174,749 107,B01,1,1,4,2,1993.0,5,0,-1,-1,-1, -1,-1,749 107,B01,2,1,0,2,1,1,5,
202200036408,7,12,2022,12:50,1,22,22070,2,1,2,3,Rue Laurens de la Barre,"48,5553540000"," -3,1418060000",4,1,0,R,2,2,0,1,0,0,1,, -1,2,0,1,50,1 013 125,749 069,A01,1,1,1,2,2002.0,1,1,-1,-1,0,0,-1,749 070,B01,3,1,0,2,1,1,6,
202200036408,7,12,2022,12:50,1,22,22070,2,1,2,3,Rue Laurens de la Barre,"48,5553540000"," -3,1418060000",4,1,0,R,2,2,0,1,0,0,1,, -1,2,0,1,50,1 013 126,749 070,B01,1,1,3,1,2006.0,1,0,-1,-1,0,0,-1,749 070,B01,3,1,0,2,1,1,6,
202200036411,7,12,2022,17:57,5,35,35228,2,3,8,3,rue de Dinard,"48,5814910000"," -2,0585690000",4,,-1,,2,2,0,1,(1),(1),1,, -1,2,0,1,50,1 013 119,749 063,A01,1,1,1,1,1962.0,0,1,-1,-1,0,0,-1,749 066,B01,1,1,0,2,3,1,5,
202200036411,7,12,2022,17:57,5,35,35228,2,3,8,3,rue de Dinard,"48,5814910000"," -2,0585690000",4,,-1,,2,2,0,1,(1),(1),1,, -1,2,0,1,50,1 013 122,749 066,B01,1,1,4,1,2007.0,5,0,-1,-1,0,0,-1,749 066,B01,1,1,0,2,3,1,5,
202200036412,18,1,2022,11:35,1,75,75115,2,7,1,1,AVENUE DE BRETEUIL,"48,8453480000","2,3117920000",4,AVENUE DE BRETEUIL,0,,1,1,0,1,(1),(1),1,, -1,1,0,1,30,1 013 116,749 060,A01,1,1,4,1,1994.0,1,2,0,-1,0,0,-1,749 060,A01,2,1,0,2,1,1,5,
202200036412,18,1,2022,11:35,1,75,75115,2,7,1,1,AVENUE DE BRETEUIL,"48,8453480000","2,3117920000",4,AVENUE DE BRETEUIL,0,,1,1,0,1,(1),(1),1,, -1,1,0,1,30,1 013 118,749 062,B01,1,1,1,1,1965.0,5,1,0,-1,0,0,-1,749 060,A01,2,1,0,2,1,1,5,
202200036441,13,7,2022,19:17,1,87,87050,2,1,1,3,LIMOGES (AVENUE DE),"45,8623100000","1,2398600000",3,LIMOGES (AVENUE DE),0,,2,2,0,2,0,0,1,, -1,1,0,4,50,1 013 057,749 014,B01,1,1,1,2,1996.0,5,1,0,-1,-1, -1,-1,749 015,A01,2,1,0,2,1,25,5,
202200036441,13,7,2022,19:17,1,87,87050,2,1,1,3,LIMOGES (AVENUE DE),"45,8623100000","1,2398600000",3,LIMOGES (AVENUE DE),0,,2,2,0,2,0,0,1,, -1,1,0,4,50,1 013 058,749 015,A01,1,1,4,1,2003.0,5,8,0,-1,-1, -1,-1,749 015,A01,2,1,0,2,1,25,5,
202200036455,10,7,2022,08:15,1,83,83118,2,9,1,2,RUE ALBERT CAMATTE,"43,4283100000","6,7718300000",4,RUE ALBERT CAMATTE,0,,2,2,0,1,0,0,3,, -1,1,0,1,50,1 013 021,748 985,A01,1,1,3,1,1978.0,5,2,6,-1,-1, -1,-1,748 985,A01,2,1,0,2,3,18,5,
202200036455,10,7,2022,08:15,1,83,83118,2,9,1,2,RUE ALBERT CAMATTE,"43,4283100000","6,7718300000",4,RUE ALBERT CAMATTE,0,,2,2,0,1,0,0,3,, -1,1,0,1,50,1 013 023,748 987,B01,1,1,1,1,1955.0,5,2,6,-1,-1, -1,-1,748 985,A01,2,1,0,2,3,18,5,
