geo_point_2d;geo_shape;gml_id;objectid;accident;unite_pv;date;heure;jsem;code_insee;inter;adresse;pr;nomv;numvro;pr_2;nomv_2;numvro_2;vehicule1;vehicule2;vehicule3;vehicule4;vehicule5;vehicule6;usager1;usager2;usager3;usager4;usager5;usager6;usager7;usager8;ntu;nbh;nbnh;wms_time
48.103867425927106,-1.6770961653571614;"{""coordinates"": [-1.677096165357161, 48.103867425927106], ""type"": ""Point""}";accident.3953;3953;2292;Sécurité publique 0035238 00272;2012-06-01;13:15;Vendredi;35238;En T;ALMA/GURVAND;;RUE DE L' ALMA;0;;RUE GURVAND;0;VL;Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2012-01-01
48.11716089680285,-1.6808460002520098;"{""coordinates"": [-1.68084600025201, 48.11716089680285], ""type"": ""Point""}";accident.4252;4252;3173;Sécurité publique 0035238 00351;2017-08-19;20:15;Samedi;35238;En X;LEGRAVEREND;;;0;;;0;VL;Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2017-01-01
48.069869999046475,-1.7103899999932834;"{""coordinates"": [-1.710389999993283, 48.069869999046475], ""type"": ""Point""}";accident.4258;4258;63445381;SP/35238/33;2019-01-21;13:00;Lundi;35281;En T;RD 634;0+0;RD 634;;0+260;RD 634;;Véhicule de tourisme (VT);VU seul 1,5T < PTAC <=3,5T;Bicyclette;;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;2;2019-01-01
48.112923533545704,-1.6851025859349364;"{""coordinates"": [-1.685102585934936, 48.112923533545704], ""type"": ""Point""}";accident.4260;4260;3633;Sécurité publique 0035238 00407;2018-10-12;09:13;Vendredi;35238;En T;JUILLET ( DE);;;0;;;0;Bicyclette;VL;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2018-01-01
48.09137817379484,-1.6649157364573899;"{""coordinates"": [-1.66491573645739, 48.09137817379484], ""type"": ""Point""}";accident.4577;4577;2192;Sécurité publique 0035238 00170;2016-04-29;17:05;Vendredi;35238;En T;G.HERVÉ/O.LEROUX;;Boulevard Gaëtan Hervé;0;;Boulevard Oscar Leroux;0;VL;Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2016-01-01
48.13051999904603,-1.6763600000015182;"{""coordinates"": [-1.676360000001518, 48.13051999904603], ""type"": ""Point""}";accident.4638;4638;66517166;SP/35238/255;2020-09-01;14:30;Mardi;35238;En T;ARMORIQUE (BD D');N/C;ARMORIQUE (BD D');;N/C;ARMORIQUE (BD D');;Véhicule de tourisme (VT);Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2020-01-01
48.107919999043766,-1.7027700000005208;"{""coordinates"": [-1.702770000000521, 48.107919999043766], ""type"": ""Point""}";accident.4721;4721;60101;SP/35238/16;2021-01-13;17:35;Mercredi;35238;En T;COURBET (AMIRAL);N/C;LORIENT (DE);;N/C;COURBET (AMIRAL);;Véhicule de tourisme (VT);Vélo par assistance électrique;;;;;Conducteur;Conducteur;;;;;;;0;1;0;2021-01-01
48.10391599904803,-1.6501249999971408;"{""coordinates"": [-1.650124999997141, 48.10391599904803], ""type"": ""Point""}";accident.4728;4728;61604;SP/35238/31;2021-01-25;08:40;Lundi;35238;Giratoire;MOUEZY (AVENUE MONSEIGNEUR);N/C;VILLEBOIS MAREUIL (BD);;N/C;MOUEZY (AVENUE MONSEIGNEUR);;Véhicule de tourisme (VT);Bicyclette;;;;;Conducteur;Conducteur;Passager;;;;;;0;0;1;2021-01-01
48.137569999047535,-1.686260000000972;"{""coordinates"": [-1.686260000000972, 48.137569999047535], ""type"": ""Point""}";accident.4759;4759;73965;SP/35238/137;2021-05-01;14:15;Samedi;35278;Giratoire;RENNES (ROND POINT DE);N/C;GROS MALHON (AVENUE);;N/C;MRENNES (ROND POINT DE);;Véhicule de tourisme (VT);Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;1;0;2021-01-01
48.1300969990451,-1.8051429999973168;"{""coordinates"": [-1.805142999997317, 48.1300969990451], ""type"": ""Point""}";accident.4777;4777;78858;GN/10048/1671;2021-05-22;17:35;Samedi;35131;En X;D125;21+892;D287;;33+355;D125;;Bicyclette;VU seul 1,5T < PTAC <=3,5T;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2021-01-01
