Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infrasituenv1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
200900020754,9,9,22,1810,1,2,1,1.0,6,112,ROUTE DAUPHINE,,,,750.0,4,0.0,,,0.0,0.0,,,1.0,1.0,1.0,0.0,100.0,1.0,500.0,,4,4,1,5.0,,1.0,1.0,1.0,1955.0,A01,0,1,0,0.0,1.0,1.0,1.0,A01
200900020772,9,9,24,1050,1,2,1,8.0,7,111,13, BOULEVARD JULES FERR,,,750.0,4,0.0,,,1.0,1.0,,,1.0,1.0,1.0,0.0,78.0,1.0,500.0,1.0,1,4,1,1.0,23.0,0.0,0.0,0.0,1982.0,A01,0,1,0,0.0,1.0,0.0,21.0,A01
200900020786,9,9,24,1900,1,2,1,1.0,7,104,4, RUE DE LA CITE,,,750.0,4,0.0,,,1.0,3.0,,,0.0,1.0,1.0,0.0,104.0,1.0,199.0,1.0,1,4,2,1.0,23.0,0.0,0.0,0.0,1949.0,A01,0,1,0,0.0,1.0,8.0,21.0,A01
200900020805,9,9,23,1715,1,2,1,1.0,7,111,RUE JEAN PIERRE TIMBAUD,,,,750.0,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,40.0,1.0,100.0,1.0,1,4,1,1.0,23.0,0.0,0.0,0.0,1977.0,A01,0,1,0,0.0,0.0,0.0,21.0,A01
200900020827,9,9,21,1010,1,2,2,1.0,6,104,3, RUE DU RENARD,,,750.0,4,0.0,,,1.0,3.0,,,3.0,1.0,1.0,3.0,62.0,1.0,199.0,1.0,1,4,2,5.0,23.0,0.0,0.0,0.0,1977.0,A01,0,1,0,0.0,2.0,3.0,7.0,A01
200900020841,9,9,21,2220,5,2,3,1.0,3,115,120, RUE LECOURBE,,,750.0,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,80.0,1.0,199.0,1.0,1,4,2,0.0,23.0,0.0,0.0,0.0,1990.0,A01,0,1,0,0.0,2.0,8.0,5.0,A01
200900020843,9,9,25,235,5,2,2,1.0,6,104,40, BOULEVARD DE SEBASTO,,,750.0,4,0.0,,,1.0,4.0,,,0.0,1.0,0.0,0.0,110.0,1.0,100.0,,3,4,2,0.0,,4.0,3.0,2.0,1979.0,A01,0,1,0,0.0,1.0,1.0,7.0,A01
200900020846,9,9,25,810,1,2,2,1.0,6,111,131 bis, RUE DE LA ROQUE,,,750.0,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,78.0,1.0,100.0,1.0,1,1,1,2.0,23.0,0.0,0.0,0.0,1992.0,A01,0,1,0,0.0,1.0,1.0,1.0,A01
200900020850,9,9,25,915,1,2,1,1.0,4,112,ROUTE DE LA PYRAMIDE,,,,750.0,4,0.0,,,3.0,1.0,,,1.0,1.0,1.0,0.0,70.0,1.0,199.0,1.0,1,4,1,1.0,23.0,0.0,0.0,0.0,1958.0,A01,0,1,0,0.0,2.0,1.0,18.0,A01
200900020893,9,9,27,1100,1,2,4,1.0,3,116,ROUTE DES TRIBUNES,,,,750.0,4,0.0,,,0.0,2.0,,,0.0,2.0,3.0,0.0,0.0,1.0,599.0,1.0,1,4,2,5.0,23.0,0.0,0.0,0.0,1962.0,B01,0,1,0,0.0,2.0,2.0,12.0,B01
